text,label
"Bongbong Marcos is MY ONLY CHOICE to succeed President Duterte on June 30, 2022.  #7BongbongMarcos #4SaraDuterte #Halalan2022  #BBMSara2022 #UniTeamBBMSara  #MahalinNatinAngPilipinas #BangonBayanMuli",Favor
The only BBM that matters!  Bea Binene Movement!   #IpanloNa10To  #LeniIsMyPresident2022 #AngatBuhayLahat,Favor
"If you vote for BBM-Sara, you will help farmers get back on their feet. This is finally their year to succeed and prosper.   #BBMSaraUNITEAM  RT to claim this.",Favor
What makes Bongbong Marcos Jr the best choice for the presidency? He is mentally prepared for the Job and his platforms is carefully crafted by the best minds in the industry. BBM vision is just like his father but in a ultramodern approach. PULA ANG PAMPANGA #PampangaForBBMSARA,Favor
"THE NEXT PRESIDENT AND VICE PRESIDENT OF THE REPUBLIC OF THE PHILIPPINES!   PRESIDENT FERDINAND BONGBONG"""" MARCOS JR.  &amp; VICE PRESIDENT INDAY SARA DUTERTE #PampangaForBBMSARA #BBMSARA2022 #UniteamBBMSARA",Favor
"my uniteam heart is so happy today bcs of the grand rally here in Pampanga, my heart and my vote only goes to you my president @bongbongmarcos and my vice president @indaysara ️ #BBMSARA2022!! 🇵🇭 🇵🇭🇵🇭 #PampangaForBBMSARA",Favor
what is the big difference of the BBM-SARA Tandem and the UNITEAM from all of the other Aspirants?  They did not only topped the surveys and got the people's vote but they also have the people HEART.   This team has indeed preserved their UNITY. No one is left behind #BBMSARA2022,Favor
Im voting for BBM ulit because I was already awakened by history facts.  #BBMSARA2022 #bongbongmarcos,Favor
My vote goes to the UNITEAM  #bbmsara2022 #bbmforpresident2022,Favor
We cannot be separated in interest or divided in purpose. We stand together until the end. – Woodrow T. Wilson  We are each other’s harvest; we are each other’s business; we are each other’s magnitude and bond.-Gwendolyn Brooks  THE CALL FOR UNITY #BBMSARA2022,Favor
Stand your ground. Even if you stand alone.  #BBMSARA2022,Favor
bbmsara = red and green what else is red and green? christmas. christmas = Jesus Jesus is what? Holy.  bbmsara = Holy  #BBMSARA2022 #bobongmarcos #rob,Favor
"I am not the champion for Unification/ Unity... THE FILIPINO PEOPLE ARE! [Champions for UNITY!]...""""~BBM @bongbongmarcos   #AgusanForUniTeam  #VivaBBMSARA  #BBMSARA2022  #BilangPilipino2022",Favor
For the win! Bongbong-Sara! Let us all Pray for an honest and clean results! Let us Protect BBM-SARA Uniteam votes! Be very vigilant mga kapatid  #BBMSARA2022  #PhilippinesWillBeGreatAgain  #BangonBayanMuli  #ProtectOurVotes #ProtectBBMSara  #protectuniteam,Favor
