text,label
The only BBM that matters!  Bea Binene Movement!   #IpanloNa10To  #LeniIsMyPresident2022 #AngatBuhayLahat,1
"If you vote for BBM-Sara, you will help farmers get back on their feet. This is finally their year to succeed and prosper.   #BBMSaraUNITEAM  RT to claim this.",1
What makes Bongbong Marcos Jr the best choice for the presidency? He is mentally prepared for the Job and his platforms is carefully crafted by the best minds in the industry. BBM vision is just like his father but in a ultramodern approach. PULA ANG PAMPANGA #PampangaForBBMSARA,1
"THE NEXT PRESIDENT AND VICE PRESIDENT OF THE REPUBLIC OF THE PHILIPPINES!   PRESIDENT FERDINAND BONGBONG"""" MARCOS JR.  &amp; VICE PRESIDENT INDAY SARA DUTERTE #PampangaForBBMSARA #BBMSARA2022 #UniteamBBMSARA",1
"my uniteam heart is so happy today bcs of the grand rally here in Pampanga, my heart and my vote only goes to you my president @bongbongmarcos and my vice president @indaysara ️ #BBMSARA2022!! 🇵🇭 🇵🇭🇵🇭 #PampangaForBBMSARA",1
what is the big difference of the BBM-SARA Tandem and the UNITEAM from all of the other Aspirants?  They did not only topped the surveys and got the people's vote but they also have the people HEART.   This team has indeed preserved their UNITY. No one is left behind #BBMSARA2022,1
Im voting for BBM ulit because I was already awakened by history facts.  #BBMSARA2022 #bongbongmarcos,1
My vote goes to the UNITEAM  #bbmsara2022 #bbmforpresident2022,1
We cannot be separated in interest or divided in purpose. We stand together until the end. – Woodrow T. Wilson  We are each other’s harvest; we are each other’s business; we are each other’s magnitude and bond.-Gwendolyn Brooks  THE CALL FOR UNITY #BBMSARA2022,1
Stand your ground. Even if you stand alone.  #BBMSARA2022,1
bbmsara = red and green what else is red and green? christmas. christmas = Jesus Jesus is what? Holy.  bbmsara = Holy  #BBMSARA2022 #bobongmarcos #rob,1
"I am not the champion for Unification/ Unity... THE FILIPINO PEOPLE ARE! [Champions for UNITY!]...""""~BBM @bongbongmarcos   #AgusanForUniTeam  #VivaBBMSARA  #BBMSARA2022  #BilangPilipino2022",1
For the win! Bongbong-Sara! Let us all Pray for an honest and clean results! Let us Protect BBM-SARA Uniteam votes! Be very vigilant mga kapatid  #BBMSARA2022  #PhilippinesWillBeGreatAgain  #BangonBayanMuli  #ProtectOurVotes #ProtectBBMSara  #protectuniteam,1
"I am NOT the champion for unification... The champion for unity are the FILIPINOS."""" - @bongbongmarcos . Napaka-humble na tao... #BBMSARA2022 #UniTeam",1
@bongbongmarcos UNITEAM FOR THE WIN #BBMSARA2022 #Halalan2022,1
It's year of the Tiger so this year will be Marcos era.  It's also time the turn of the Philippines' golden era. It's his destiny.  Mahalin natin ang Pilipinas at Sama-sama tayong babangon muli!  BBM FOR PRESIDENT #CDOForBBMSARA,1
A lot of people I know who keep saying they'll move abroad if BBM wins are those who have never even travelled outside the country. Well at least they now have a goal. That's alright I guess. I hope they adjust well.   #BBMSara2022 ,1
There is no forever! This hate campaign will soon be over and I see a better nation with BBM Sara Unity team. Start moving forward is my advice to the other parties. Changing strategy campaign is too late now. #artistsforbbm  #BBMSARA2022,1
"To my fellow BBM-SARA supporters heading towards the rally in Pelaez Sports Center, take care and stay safe #CDOforBBMSARA #BBMSARA2022 #UniTeam",1
